Time [s],CAN_RX_ECU,CAN_RX_LSM,CAN_TX_ECU,CAN_TX_LSM
1.054681462,1,1,1,1
1.054681568,1,1,1,0
1.054681666,1,0,1,0
1.054682058,1,0,1,1
1.054682198,1,1,1,1
1.054682448,0,1,1,1
1.054682962,1,1,1,1
1.054683068,1,1,1,0
1.054683166,1,0,1,0
1.054683448,0,0,1,0
1.054683558,0,0,1,1
1.054683698,0,1,1,1
1.054683962,1,1,1,1
1.054684448,0,1,1,1
1.054685462,1,1,1,1
1.054685948,0,1,1,1
1.054686568,0,1,1,0
1.054686666,0,0,1,0
1.054687558,0,0,1,1
1.054687698,0,1,1,1
1.054688068,0,1,1,0
1.054688166,0,0,1,0
1.054688558,0,0,1,1
1.054688698,0,1,1,1
1.054689462,1,1,1,1
1.054689568,1,1,1,0
1.054689666,1,0,1,0
1.054689948,0,0,1,0
1.054690058,0,0,1,1
1.054690198,0,1,1,1
1.054690462,1,1,1,1
1.054690568,1,1,1,0
1.054690666,1,0,1,0
1.054691058,1,0,1,1
1.054691198,1,1,1,1
1.054691568,1,1,1,0
1.054691666,1,0,1,0
1.054692558,1,0,1,1
1.054692698,1,1,1,1
1.054693068,1,1,1,0
1.054693168,1,0,1,0
1.054696560,1,0,1,1
1.054696698,1,1,1,1
1.054697066,1,1,1,0
1.054697168,1,0,1,0
1.054697560,1,0,1,1
1.054697698,1,1,1,1
1.054702840,1,0,1,1
1.054703342,1,1,1,1
1.054703808,1,0,1,1
1.054704336,1,1,1,1
1.054705326,1,0,1,1
1.054706350,1,1,1,1
1.054707862,1,0,1,1
1.054708364,1,1,1,1
1.054709330,1,0,1,1
1.054709856,1,1,1,1
1.054710348,1,0,1,1
1.054710490,1,0,0,1
1.054710598,0,0,0,1
1.054710980,0,0,1,1
1.054711112,1,0,1,1
1.054711374,1,1,1,1
1.054711490,1,1,0,1
1.054711598,0,1,0,1
1.054711980,0,1,1,1
1.054712112,1,1,1,1
1.054712936,1,0,1,1
1.054712990,1,0,0,1
1.054713098,0,0,0,1
1.054713438,0,1,0,1
1.054713904,0,0,0,1
1.054713980,0,0,1,1
1.054714112,1,0,1,1
1.054714432,1,1,1,1
1.054715422,1,0,1,1
1.054715490,1,0,0,1
1.054715598,0,0,0,1
1.054715980,0,0,1,1
1.054716112,1,0,1,1
1.054716446,1,1,1,1
1.054716990,1,1,0,1
1.054717098,0,1,0,1
1.054717480,0,1,1,1
1.054717612,1,1,1,1
1.054717958,1,0,1,1
1.054717990,1,0,0,1
1.054718098,0,0,0,1
1.054718462,0,1,0,1
1.054718980,0,1,1,1
1.054719112,1,1,1,1
1.054719426,1,0,1,1
1.054719954,1,1,1,1
1.054720446,1,0,1,1
1.054720490,1,0,0,1
1.054720598,0,0,0,1
1.054720980,0,0,1,1
1.054721112,1,0,1,1
1.054721470,1,1,1,1
1.054721490,1,1,0,1
1.054721598,0,1,0,1
1.054721982,0,1,1,1
1.054722112,1,1,1,1
1.054722990,1,1,0,1
1.054723032,1,0,0,1
1.054723098,0,0,0,1
1.054723982,0,0,1,1
1.054724112,1,0,1,1
1.054724528,1,1,1,1
1.054725490,1,1,0,1
1.054725518,1,0,0,1
1.054725598,0,0,0,1
1.054725982,0,0,1,1
1.054726112,1,0,1,1
1.054726542,1,1,1,1
1.054726990,1,1,0,1
1.054727098,0,1,0,1
1.054727482,0,1,1,1
1.054727614,1,1,1,1
1.054727990,1,1,0,1
1.054728054,1,0,0,1
1.054728098,0,0,0,1
1.054728982,0,0,1,1
1.054729054,0,1,1,1
1.054729114,1,1,1,1
1.054730020,1,0,1,1
1.054730490,1,0,0,1
1.054730598,0,0,0,1
1.054731566,0,1,0,1
1.054731982,0,1,1,1
1.054732114,1,1,1,1
1.054732990,1,1,0,1
1.054733100,0,1,0,1
1.054733128,0,0,0,1
1.054733630,0,1,0,1
1.054733982,0,1,1,1
1.054734114,1,1,1,1
1.054735092,1,0,1,1
1.054735490,1,0,0,1
1.054735600,0,0,0,1
1.054736482,0,0,1,1
1.054736614,1,0,1,1
1.054736640,1,1,1,1
1.054737490,1,1,0,1
1.054737600,0,1,0,1
1.054738152,0,0,0,1
1.054738982,0,0,1,1
1.054739114,1,0,1,1
1.054739150,1,1,1,1
1.054739618,1,0,1,1
1.054740146,1,1,1,1
1.054740490,1,1,0,1
1.054740600,0,1,0,1
1.054740638,0,0,0,1
1.054740982,0,0,1,1
1.054741114,1,0,1,1
1.054741662,1,1,1,1
1.054742490,1,1,0,1
1.054742600,0,1,0,1
1.054743224,0,0,0,1
1.054743726,0,1,0,1
1.054743984,0,1,1,1
1.054744114,1,1,1,1
1.054745188,1,0,1,1
1.054745490,1,0,0,1
1.054745600,0,0,0,1
1.054746484,0,0,1,1
1.054746614,1,0,1,1
1.054746736,1,1,1,1
1.054746990,1,1,0,1
1.054747100,0,1,0,1
1.054747484,0,1,1,1
1.054747614,1,1,1,1
1.054747990,1,1,0,1
1.054748100,0,1,0,1
1.054748248,0,0,0,1
1.054748984,0,0,1,1
1.054749114,1,0,1,1
1.054749248,1,1,1,1
1.054749714,1,0,1,1
1.054750242,1,1,1,1
1.054750490,1,1,0,1
1.054750600,0,1,0,1
1.054750734,0,0,0,1
1.054750984,0,0,1,1
1.054751114,1,0,1,1
1.054751760,1,1,1,1
1.054752492,1,1,0,1
1.054752600,0,1,0,1
1.054753320,0,0,0,1
1.054753822,0,1,0,1
1.054753984,0,1,1,1
1.054754114,1,1,1,1
1.054754290,1,0,1,1
1.054755314,1,1,1,1
1.054755492,1,1,0,1
1.054755600,0,1,0,1
1.054755808,0,0,0,1
1.054756484,0,0,1,1
1.054756616,1,0,1,1
1.054756832,1,1,1,1
1.054756992,1,1,0,1
1.054757100,0,1,0,1
1.054757484,0,1,1,1
1.054757616,1,1,1,1
1.054757992,1,1,0,1
1.054758102,0,1,0,1
1.054758344,0,0,0,1
1.054758846,0,1,0,1
1.054758984,0,1,1,1
1.054759116,1,1,1,1
1.054759812,1,0,1,1
1.054760338,1,1,1,1
1.054760492,1,1,0,1
1.054760602,0,1,0,1
1.054760832,0,0,0,1
1.054760984,0,0,1,1
1.054761116,1,0,1,1
1.054761492,1,0,0,1
1.054761600,0,0,0,1
1.054761856,0,1,0,1
1.054762484,0,1,1,1
1.054762616,1,1,1,1
1.054762992,1,1,0,1
1.054763102,0,1,0,1
1.054763418,0,0,0,1
1.054763920,0,1,0,1
1.054763984,0,1,1,1
1.054764116,1,1,1,1
1.054765382,1,0,1,1
1.054765492,1,0,0,1
1.054765602,0,0,0,1
1.054765984,0,0,1,1
1.054766116,1,0,1,1
1.054766928,1,1,1,1
1.054766992,1,1,0,1
1.054767102,0,1,0,1
1.054767484,0,1,1,1
1.054767616,1,1,1,1
1.054767992,1,1,0,1
1.054768102,0,1,0,1
1.054768440,0,0,0,1
1.054768942,0,1,0,1
1.054768984,0,1,1,1
1.054769116,1,1,1,1
1.054770404,1,0,1,1
1.054770492,1,0,0,1
1.054770602,0,0,0,1
1.054770986,0,0,1,1
1.054771116,1,0,1,1
1.054771952,1,1,1,1
1.054772492,1,1,0,1
1.054772602,0,1,0,1
1.054773514,0,0,0,1
1.054773986,0,0,1,1
1.054774116,1,0,1,1
1.054774514,1,1,1,1
1.054774980,1,0,1,1
1.054775492,1,0,0,1
1.054775508,1,1,0,1
1.054775602,0,1,0,1
1.054775986,0,1,1,1
1.054776000,0,0,1,1
1.054776116,1,0,1,1
1.054777024,1,1,1,1
1.054777494,1,1,0,1
1.054777602,0,1,0,1
1.054778538,0,0,0,1
1.054778986,0,0,1,1
1.054779038,0,1,1,1
1.054779116,1,1,1,1
1.054779506,1,0,1,1
1.054780494,1,0,0,1
1.054780532,1,1,0,1
1.054780602,0,1,0,1
1.054781024,0,0,0,1
1.054781486,0,0,1,1
1.054781618,1,0,1,1
1.054781994,1,0,0,1
1.054782048,1,1,0,1
1.054782102,0,1,0,1
1.054782486,0,1,1,1
1.054782616,1,1,1,1
1.054782994,1,1,0,1
1.054783102,0,1,0,1
1.054783610,0,0,0,1
1.054783986,0,0,1,1
1.054784118,1,0,1,1
1.054784610,1,1,1,1
1.054785078,1,0,1,1
1.054785494,1,0,0,1
1.054785602,0,0,0,1
1.054785604,0,1,0,1
1.054785986,0,1,1,1
1.054786098,0,0,1,1
1.054786118,1,0,1,1
1.054786494,1,0,0,1
1.054786602,0,0,0,1
1.054787122,0,1,0,1
1.054787486,0,1,1,1
1.054787618,1,1,1,1
1.054787994,1,1,0,1
1.054788104,0,1,0,1
1.054788634,0,0,0,1
1.054788986,0,0,1,1
1.054789118,1,0,1,1
1.054789136,1,1,1,1
1.054790102,1,0,1,1
1.054790494,1,0,0,1
1.054790604,0,0,0,1
1.054790630,0,1,0,1
1.054791122,0,0,0,1
1.054791486,0,0,1,1
1.054791618,1,0,1,1
1.054791994,1,0,0,1
1.054792104,0,0,0,1
1.054792146,0,1,0,1
1.054792486,0,1,1,1
1.054792618,1,1,1,1
1.054792994,1,1,0,1
1.054793104,0,1,0,1
1.054793708,0,0,0,1
1.054793986,0,0,1,1
1.054794118,1,0,1,1
1.054795204,1,1,1,1
1.054795494,1,1,0,1
1.054795604,0,1,0,1
1.054795672,0,0,0,1
1.054795986,0,0,1,1
1.054796118,1,0,1,1
1.054796994,1,0,0,1
1.054797104,0,0,0,1
1.054797220,0,1,0,1
1.054797486,0,1,1,1
1.054797618,1,1,1,1
1.054797994,1,1,0,1
1.054798104,0,1,0,1
1.054798732,0,0,0,1
1.054798988,0,0,1,1
1.054799118,1,0,1,1
1.054799732,1,1,1,1
1.054800200,1,0,1,1
1.054800494,1,0,0,1
1.054800604,0,0,0,1
1.054801988,0,0,1,1
1.054802118,1,0,1,1
1.054802244,1,1,1,1
1.054802494,1,1,0,1
1.054802604,0,1,0,1
1.054803806,0,0,0,1
1.054803988,0,0,1,1
1.054804118,1,0,1,1
1.054804308,1,1,1,1
1.054804776,1,0,1,1
1.054805494,1,0,0,1
1.054805604,0,0,0,1
1.054805800,0,1,0,1
1.054806292,0,0,0,1
1.054806488,0,0,1,1
1.054806620,1,0,1,1
1.054806994,1,0,0,1
1.054807104,0,0,0,1
1.054807316,0,1,0,1
1.054808828,0,0,0,1
1.054808988,0,0,1,1
1.054809120,1,0,1,1
1.054809330,1,1,1,1
1.054810794,1,0,1,1
1.054810996,1,0,0,1
1.054811104,0,0,0,1
1.054811488,0,0,1,1
1.054811620,1,0,1,1
1.054811996,1,0,0,1
1.054812104,0,0,0,1
1.054812340,0,1,0,1
1.054812988,0,1,1,1
1.054813120,1,1,1,1
1.054813496,1,1,0,1
1.054813604,0,1,0,1
1.054813902,0,0,0,1
1.054814488,0,0,1,1
1.054814620,1,0,1,1
1.054814902,1,1,1,1
1.054815368,1,0,1,1
1.054815896,1,1,1,1
1.054815996,1,1,0,1
1.054816106,0,1,0,1
1.054816388,0,0,0,1
1.054816488,0,0,1,1
1.054816620,1,0,1,1
1.054817412,1,1,1,1
1.054817996,1,1,0,1
1.054818106,0,1,0,1
1.054818924,0,0,0,1
1.054819488,0,0,1,1
1.054819620,1,0,1,1
1.054819924,1,1,1,1
1.054820392,1,0,1,1
1.054820920,1,1,1,1
1.054820996,1,1,0,1
1.054821106,0,1,0,1
1.054821412,0,0,0,1
1.054821988,0,0,1,1
1.054822120,1,0,1,1
1.054822436,1,1,1,1
1.054822496,1,1,0,1
1.054822606,0,1,0,1
1.054822988,0,1,1,1
1.054823120,1,1,1,1
1.054823496,1,1,0,1
1.054823606,0,1,0,1
1.054823998,0,0,0,1
